GeneSymbol	A21_05_C3_P5_690140	A21_05_C3_P5_868918	A21_05_C3_P5_530187	A21_05_C3_P5_474185
PCSK5	0.000	0.000	0.000	0.560
PCSK9	0.000	0.000	0.000	0.000
PDE1B	0.000	0.000	0.000	0.000
PDE3A	0.000	0.000	0.000	0.000
PDE3B	0.000	0.000	0.000	0.000
PDE5A	0.000	0.000	0.000	0.000
PDGFD	0.000	0.000	0.710	0.000
PDGFRA	0.585	1.030	1.900	1.833
PDGFRL	0.585	0.000	0.000	0.000
PDLIM3	0.000	0.000	0.000	0.000
PDPN	0.000	0.855	0.417	0.000
PEA15	0.335	1.309	1.411	0.917
PEG10	0.000	0.000	0.000	0.000
PEG3	0.000	0.000	0.000	0.000
PENK	0.000	0.000	0.000	1.179
PF4V1	0.000	0.000	0.000	0.000
PFN1	2.780	2.992	2.739	2.566
PGF	0.585	0.000	0.417	0.560
PHACTR3	0.000	0.000	0.000	0.000
PHEX	0.000	0.000	0.000	0.000
PHF19	0.000	0.000	0.000	0.000
PHIP	0.335	0.000	0.000	0.917
PHLDA1	0.000	0.000	0.936	0.000
PHLDA2	0.335	0.372	0.000	0.000
PI16	0.000	0.000	0.000	0.000
PID1	0.785	0.855	0.000	0.000
PIEZO2	0.000	0.000	0.000	0.560
PIF1	0.000	0.000	0.000	0.000
PIK3R6	0.000	0.000	0.417	0.000
PILRB	0.000	0.000	0.000	0.000
PIM1	0.952	0.000	0.710	0.000
PIMREG	0.000	0.000	0.000	0.000
PIWIL2	0.000	0.000	0.000	0.000
PKMYT1	0.000	0.000	0.000	0.000
PLAC9	0.335	0.855	0.710	0.000
PLAT	0.000	0.642	0.710	1.179
PLAU	1.095	0.642	0.710	0.000
PLAUR	0.335	0.000	0.936	0.000
PLCB1	0.335	0.372	0.000	0.000
PLEKHG1	0.000	0.372	0.000	0.000
PLEKHH2	0.000	0.000	0.000	0.000
PLIN2	1.095	0.642	1.636	0.000
PLK1	0.000	0.000	0.000	0.000
PLK2	0.000	0.372	0.000	0.560
PLK4	0.000	0.000	0.000	0.000
PLOD2	1.522	1.527	1.276	1.833
PLP1	0.000	0.000	0.000	0.000
PLPP1	0.785	0.642	0.710	0.560
PLPP3	1.095	0.000	1.530	0.917
PLPP4	0.335	0.000	0.000	0.000
PLTP	1.605	0.642	0.000	0.000
PLXDC1	0.335	0.000	0.936	0.000
PLXDC2	0.000	0.372	0.000	0.917
PLXNC1	0.000	0.000	0.000	0.000
PMAIP1	0.335	0.000	0.417	0.000
PMEPA1	0.000	0.372	0.710	0.000
PMFBP1	0.000	0.000	0.000	0.000
PNMA2	0.000	0.000	0.000	0.000
PNP	0.585	0.000	0.000	0.000
PNPT1	0.000	0.372	0.000	0.000
POC1A	0.000	0.000	0.000	0.000
POLD3	0.000	0.000	0.417	0.000
POLE2	0.000	0.000	0.000	0.000
POLE3	0.335	0.372	0.710	0.000
POLQ	0.000	0.000	0.000	0.000
POSTN	2.099	2.706	1.530	0.917
POU2F2	1.882	0.372	0.000	0.560
PPFIA2	0.000	0.000	0.000	0.000
PPIF	0.952	0.642	0.417	0.000
PPL	0.000	0.000	0.000	0.000
PPP1R3C	0.000	0.000	0.417	0.000
PRAG1	0.000	0.000	0.000	0.000
PRC1	0.000	0.000	0.000	0.000
PRDM1	0.000	0.642	0.710	0.000
PRDM16	0.000	0.000	0.000	0.000
PRG4	0.000	0.000	1.636	1.179
PRICKLE1	0.585	0.642	1.121	0.000
PRKCZ-AS1	0.000	0.000	0.000	0.000
PRKDC	1.220	0.372	0.417	0.000
PRLR	0.000	0.000	0.000	0.000
PRMT1	0.952	0.000	0.000	0.560
PRPS1	0.000	0.000	0.000	0.000
PRR11	0.585	0.000	0.000	0.000
PRRG3	0.000	0.000	0.417	0.000
PRSS21	0.000	0.000	0.000	0.000
PRSS23	0.585	1.309	0.000	0.000
PRXL2A	0.000	0.000	0.000	0.000
PSAP	2.496	2.348	2.428	1.947
PSAT1	0.000	0.000	0.000	0.000
PSG5	0.000	0.000	0.000	0.000
PSIP1	0.785	0.000	0.417	1.179
PSMC3IP	0.000	0.000	0.000	0.000
PSMD14	0.000	0.372	0.710	0.560
PSMD2	0.785	1.030	0.936	0.917
PSRC1	0.000	0.000	0.000	0.000
PTCHD4	0.000	0.000	0.000	0.000
PTGDS	0.000	0.000	0.000	0.000
PTGER2	0.000	0.372	0.000	0.000
PTGER3	0.000	0.000	0.000	0.000
PTGER4	0.000	0.000	0.000	0.000
PTGES	0.335	0.000	0.710	0.000
PTGES3	1.220	0.855	0.000	0.917
PTGFR	0.585	0.000	1.276	0.000
PTGFRN	0.585	0.642	0.710	0.000
PTGIS	0.785	0.372	1.530	1.387
PTGS1	0.585	0.000	0.000	0.000
PTGS2	0.000	0.372	0.000	0.000
PTHLH	0.000	0.000	0.000	0.000
PTMA	2.192	1.030	2.472	3.158
PTN	0.000	0.000	0.000	0.000
PTPRD	0.000	0.000	0.000	0.000
PTPRE	0.000	0.000	0.000	0.000
PTPRF	0.335	0.000	0.000	0.000
PTPRN	0.000	0.000	0.000	0.000
PTPRN2	0.000	0.000	0.000	0.000
PTPRQ	0.000	0.000	0.000	0.000
PTTG1	0.585	0.000	0.417	0.560
PTX3	0.000	0.000	0.000	0.000
PUM3	0.000	0.000	0.000	0.000
PURPL	0.000	0.000	0.000	0.000
PXDN	1.753	1.030	1.530	1.705
QPCT	0.585	0.000	0.000	0.000
QPRT	1.753	1.925	1.530	1.387
RAB27B	0.000	0.000	0.000	0.000
RAB31	1.220	0.855	1.411	0.560
RAB3B	0.585	0.372	0.000	1.387
RACGAP1	0.000	0.000	0.000	0.000
RAD18	0.000	0.000	0.417	0.000
RAD21	0.335	0.855	0.936	1.179
RAD51	0.000	0.000	0.000	0.000
RAD51AP1	0.000	0.000	0.000	0.000
RAD54L	0.000	0.000	0.000	0.000
RAD9B	0.000	0.000	0.000	0.000
RAMP1	0.000	0.000	0.000	0.000
RAN	1.753	1.989	1.276	2.141
RANBP1	0.335	0.855	0.710	1.179
RANBP17	0.000	0.000	0.000	0.000
RANGAP1	0.335	0.000	0.000	0.000
RARRES1	0.585	0.372	0.710	0.917
RARRES2	0.000	0.000	0.000	0.000
RASD1	0.000	0.000	0.000	0.000
RASGRP1	0.335	0.000	0.000	0.000
RASSF2	0.000	0.000	1.121	0.000
RBBP8	0.000	0.000	0.417	0.917
RBM46	0.000	0.000	0.000	0.000
RBP1	0.000	0.000	0.000	0.000
RCAN1	0.000	0.000	0.000	0.560
RCAN2	0.335	0.642	0.710	0.000
RCC2	0.585	0.855	0.000	0.560
RDH10	0.000	0.000	0.000	0.000
REEP4	0.000	0.000	0.417	0.000
REEP6	0.000	0.000	0.000	0.000
REPS2	0.000	0.000	0.000	0.000
RETREG1	0.000	0.000	0.000	0.000
REV3L	0.335	0.642	0.936	1.559
RFC3	0.000	0.000	0.000	0.000
RFC4	0.000	0.000	0.000	0.000
RFC5	0.000	0.000	0.000	0.000
RFLNB	0.000	0.000	0.000	0.000
RFPL1S	0.000	0.000	0.000	0.000
RFWD3	0.000	0.000	0.000	0.000
RGCC	0.335	0.372	0.710	0.000
RGS16	0.335	0.000	0.000	0.000
RGS2	0.000	0.642	0.000	0.560
RGS4	0.000	0.000	0.417	0.000
RHOB	0.335	0.372	0.000	0.560
RHOJ	0.000	0.000	0.710	0.000
RIF1	0.585	0.372	0.000	0.000
RMI1	0.000	0.000	0.000	0.000
RMI2	0.000	0.000	0.000	0.000
RN7SL832P	0.000	0.000	0.000	0.000
RND3	1.220	1.179	1.411	0.917
RNF144A	0.335	0.372	0.417	0.917
RNF150	0.000	0.000	0.000	0.000
RNF152	0.000	0.000	0.000	0.000
RNU1-85P	0.000	0.000	0.000	0.000
ROR1-AS1	0.000	0.000	0.000	0.000
RORB	0.000	0.000	0.000	0.000
RPA3	0.585	0.372	0.417	0.000
RPL22L1	0.785	1.309	0.936	0.917
RPL38P3	0.000	0.000	0.000	0.000
RPLP0P2	0.335	1.030	0.417	0.000
RPP38-DT	0.000	0.000	0.000	0.000
RPSAP45	0.000	0.000	0.000	0.000
RRAD	0.000	0.000	0.000	0.000
RRM1	0.335	0.642	0.000	0.560
RRM2	0.000	0.000	0.000	0.560
RRM2B	0.952	0.372	0.710	0.000
RRP15	0.000	0.000	0.000	0.000
RSAD2	0.000	0.000	0.000	0.000
RSPO3	0.000	0.000	0.000	0.000
RTCA-AS1	0.000	0.000	0.000	0.000
RTKN2	0.000	0.000	0.417	0.000
RUNX1	0.000	0.372	1.636	1.179
RUNX1T1	0.335	0.372	0.417	0.560
S100A10	1.941	2.469	1.900	2.048
S100A16	1.820	1.620	0.936	1.705
S100A2	0.000	0.000	0.000	0.000
S100A4	2.393	2.611	2.772	1.559
S100A6	4.065	4.298	3.167	3.549
S1PR1	0.000	0.000	0.000	0.000
S1PR3	0.000	0.000	0.000	0.000
SACS	0.000	0.372	0.417	1.179
SALL4	0.000	0.000	0.000	0.000
SAMD9	0.000	0.000	0.417	0.560
SAMHD1	0.335	0.372	1.276	0.917
SAPCD2	0.000	0.000	0.000	0.000
SASS6	0.000	0.000	0.000	0.000
SAT1	1.095	0.642	0.710	1.179
SCARA3	1.882	2.105	1.974	1.559
SCD	0.785	0.000	1.276	1.387
SCG2	0.000	0.000	0.000	0.000
SCG5	0.000	0.372	0.417	0.000
SCLT1	0.000	0.000	0.710	0.000
SCN2A	0.000	0.000	0.000	0.000
SCN9A	0.000	0.000	0.000	0.000
SCRG1	0.000	0.000	0.000	0.000
SCUBE3	0.000	1.030	0.000	0.560
SDC1	1.220	0.000	0.710	0.000
SDF2L1	0.000	0.000	0.000	0.000
SEC11C	0.335	0.642	0.000	0.000
SECTM1	0.000	0.000	1.121	0.560
SEL1L3	0.000	0.000	0.417	0.560
SELENOP	0.000	0.000	0.000	0.000
SEMA3A	0.000	0.000	0.417	0.000
SEMA3C	1.431	0.372	0.710	0.917
SEMA3D	0.000	0.000	0.000	0.000
SEMA3G	0.000	0.000	0.000	0.000
SEMA5A	0.000	1.030	1.411	0.917
SEMA6A	0.000	0.000	0.000	0.000
SEMA6D	0.000	0.000	0.000	0.000
SEMA7A	0.585	1.424	0.000	0.000
SEPTIN11	1.220	1.620	1.276	1.833
SEPTIN6	0.000	0.000	0.417	0.560
SERINC2	0.952	0.855	0.417	0.560
SERINC5	0.335	0.000	0.000	0.000
SERPINB7	0.335	0.000	0.000	0.000
SERPINB9	0.000	0.000	0.000	0.000
SERPINE1	1.605	1.857	0.936	0.560
SERPINE2	0.335	1.527	1.819	2.303
SERPING1	0.000	0.642	0.936	0.000
SERPINI1	0.000	0.000	0.000	0.000
SERTAD4	0.000	0.000	0.417	0.560
SERTAD4-AS1	0.000	0.642	0.417	0.000
SERTM1	0.000	0.000	0.000	0.000
SESN3	0.335	0.372	0.710	0.000
SFN	0.000	0.000	0.000	0.000
SFPQ	0.785	0.000	0.417	0.560
SFRP1	0.000	0.000	0.000	0.000
SFRP2	0.000	0.000	0.000	0.000
SFRP4	0.000	0.000	0.000	0.000
SGK1	0.000	0.000	0.000	0.000
SGO1	0.000	0.000	0.000	0.000
SGO2	0.000	0.000	0.000	0.000
SH2B3	0.000	0.372	0.000	0.000
SH3BGRL3	3.260	3.496	2.976	2.945
SH3PXD2A	0.000	0.855	1.530	0.560
SHC2	0.000	0.000	0.000	0.000
SHCBP1	0.000	0.000	0.000	0.000
SHOX2	0.335	0.000	0.000	0.000
SHROOM2	0.000	0.000	0.000	0.000
SIGLEC15	0.000	0.000	0.000	0.000
SIM1	0.000	0.000	0.000	0.000
SIPA1L2	0.000	0.000	0.000	0.000
SIX1	0.000	0.000	0.710	0.000
SIX2	0.000	0.372	0.710	0.000
SKA1	0.000	0.000	0.000	0.000
SKA3	0.000	0.000	0.000	0.000
SKIL	0.335	0.372	0.417	1.179
SKP2	0.000	0.372	0.417	0.560
SLA	0.000	0.000	0.000	0.000
SLC14A1	0.000	0.000	0.000	0.000
SLC16A1-AS1	0.000	0.000	0.710	0.000
SLC16A14	0.000	0.000	0.000	0.000
SLC16A4	0.000	0.372	0.000	0.000
SLC16A6	0.000	0.000	0.000	0.000
SLC1A1	0.000	0.372	0.710	0.000
SLC20A1	0.335	0.000	0.417	0.000
SLC25A13	0.000	0.000	0.417	0.000
SLC26A4	0.000	0.000	0.000	0.000
SLC29A1	0.000	0.000	0.000	0.000
SLC2A8	0.000	0.000	0.000	0.000
SLC35F4	0.000	0.000	0.000	0.000
SLC38A1	0.000	0.000	0.000	0.000
SLC38A2	0.335	1.309	2.169	1.705
SLC39A14	0.585	0.642	0.000	0.560
SLC3A2	0.585	0.000	0.417	0.000
SLC40A1	0.000	0.000	0.000	0.917
SLC43A2	0.000	0.372	0.000	0.000
SLC43A3	0.000	0.372	0.000	0.000
SLC5A3	0.000	0.000	0.000	0.000
SLC6A6	0.000	0.000	0.417	0.560
SLC7A1	0.000	0.372	0.000	0.560
SLC7A11	0.000	0.000	0.000	0.000
SLC7A14	0.000	0.000	0.000	0.000
SLC7A5	0.000	0.000	0.000	0.000
SLC7A8	0.335	0.000	0.000	0.917
SLC8A1	0.000	0.000	0.000	0.000
SLCO5A1	0.000	0.000	0.000	0.000
SLF1	0.000	0.000	0.000	0.000
SLIRP	0.785	1.179	0.000	1.833
SLIT2	0.785	1.030	0.417	0.917
SLIT3	0.000	0.000	0.000	0.000
SLITRK4	0.000	0.000	0.000	0.000
SMC1A	0.000	0.372	0.000	0.000
SMC1B	0.000	0.000	0.000	0.000
SMC2	0.952	0.000	0.000	0.917
SMC3	0.000	0.000	1.121	0.000
SMC4	0.335	1.030	1.121	1.559
SMIM3	0.952	1.527	0.710	0.000
SMS	0.585	0.855	0.936	1.559
SMYD3	0.335	1.424	0.000	0.000
SNAI2	0.585	1.030	1.121	0.917
SNAP25	0.000	0.372	0.000	0.000
SNCAIP	0.000	0.000	0.000	0.000
SNED1	0.000	0.855	0.417	0.917
SNHG1	0.335	0.000	0.000	0.000
SNHG3	0.000	0.000	0.000	0.000
SNORD3A	0.785	0.000	1.636	2.725
SNRPA1	0.952	0.642	0.000	0.000
SNRPB	0.785	0.372	0.000	0.000
SNRPD1	0.785	1.030	0.000	0.000
SNRPG	0.952	1.179	0.000	1.179
SOCS3	0.335	0.372	0.936	0.560
SOD2	1.682	0.372	1.636	0.560
SOX11	0.000	0.000	0.000	0.000
SOX4	0.585	1.527	0.936	0.000
SOX9	0.000	0.000	0.417	0.000
SP9	0.000	0.000	0.000	0.000
SPAG17	0.000	0.000	0.000	0.000
SPAG5	0.000	0.000	0.000	0.000
SPARC	3.688	4.247	3.399	3.813
SPARCL1	0.000	0.000	0.000	0.000
SPC24	0.335	0.000	0.000	0.000
SPC25	0.000	0.000	0.000	0.000
SPDL1	0.000	0.000	0.000	0.000
SPHK1	0.000	0.000	0.000	0.560
SPON1	0.000	0.372	0.000	0.000
SPON2	2.780	2.430	2.043	0.000
SPP1	0.000	0.000	0.000	0.000
SPRY1	0.000	0.000	0.000	0.000
SPRY4	0.000	0.000	0.000	0.000
SPSB1	0.000	0.372	0.710	0.000
SQLE	0.000	0.372	0.000	0.560
SRGN	0.785	0.372	1.411	0.000
SRM	0.785	0.855	0.710	0.000
SRSF2	1.095	0.372	0.710	1.179
SRSF3	1.431	0.642	0.710	0.560
SRSF7	0.952	0.855	0.000	0.917
SSPN	0.335	0.372	0.936	0.917
SSR3	1.941	2.049	1.900	1.833
SSRP1	0.000	0.642	1.276	1.705
SSX2IP	0.585	0.372	0.417	0.000
ST13P18	0.000	0.000	0.000	0.000
ST6GAL2	0.000	0.000	0.000	0.000
STAT1	1.095	1.030	0.936	0.560
STC1	0.000	0.000	0.000	0.000
STC2	0.000	0.000	0.000	0.000
STEAP1	0.952	0.855	0.710	0.000
STIL	0.000	0.000	0.000	0.000
STIP1	0.335	0.000	0.417	1.179
STK17B	0.000	0.000	0.417	0.917
STMN1	0.585	0.642	0.000	0.000
STMN2	0.000	0.000	0.000	0.000
STRA6	0.000	0.642	0.000	0.000
SUGCT	0.335	0.000	0.000	0.000
SULF1	0.335	0.372	0.710	1.387
SULF2	0.000	0.000	0.000	0.000
SULT1A1	0.000	0.000	0.000	0.000
SUN2	0.000	0.000	0.417	0.000
SUPT16H	0.000	0.372	0.000	0.917
SUSD2	0.335	0.000	0.000	0.000
SUV39H1	0.000	0.000	0.000	0.000
SVIL	0.000	0.000	0.710	0.560
SWAP70	0.335	0.000	0.710	0.560
SYCE1	0.335	0.000	0.000	0.000
SYNC	0.585	0.000	0.936	0.560
SYNCRIP	1.095	0.642	1.276	1.179
SYNDIG1	0.000	0.000	0.000	0.000
SYNE2	0.000	0.000	0.000	0.000
SYNJ2	0.000	0.000	1.121	0.000
SYNPO2	0.335	0.000	0.000	0.000
SYT1	0.000	0.000	0.000	0.000
SYT7	0.000	0.372	0.936	0.000
SYTL2	0.000	0.372	0.000	0.560
SYTL5	0.000	0.000	0.417	0.000
TACC3	0.000	0.000	0.000	0.000
TACSTD2	0.000	0.000	0.000	0.000
TAF7L	0.000	0.000	0.000	0.000
TAFA5	0.000	0.000	0.000	0.000
TAGLN	0.000	0.000	0.000	0.560
TAGLN2	2.192	1.527	2.108	2.141
TBX3	0.585	0.372	0.710	0.000
TBX5	0.000	0.000	0.417	0.000
TCAM1P	0.000	0.000	0.000	0.000
TCEAL5	0.000	0.000	0.000	0.000
TCERG1	0.335	0.000	0.417	0.917
TCF19	0.000	0.000	0.000	0.000
TCF21	0.000	0.000	0.000	0.000
TCF4	0.000	0.642	0.936	1.705
TCF7L1	0.335	0.000	0.000	0.000
TCOF1	0.585	0.372	0.000	0.000
TDO2	0.000	0.000	0.000	0.000
TDRD1	0.000	0.000	0.000	0.000
TDRD9	0.000	0.000	0.000	0.000
TEDC2	0.000	0.000	0.000	0.000
TENM2	0.000	0.000	0.000	0.000
TENT5A	1.095	0.642	1.636	0.560
TES	0.585	0.000	0.417	0.560
TFAM	0.335	0.372	0.936	0.000
TFDP1	0.585	0.372	0.710	0.917
TFPI2	1.522	0.000	0.710	0.560
TFRC	0.335	0.000	0.000	0.000
TGFB2	0.000	0.000	0.000	0.560
TGFB3	0.585	0.000	0.000	0.560
TGFBI	2.463	2.543	2.169	3.125
TGFBR3	0.585	0.642	0.417	0.560
TGM2	0.335	1.179	0.000	0.000
THBD	0.000	0.000	0.000	0.000
THBS1	0.952	1.989	2.281	1.179
THBS2	1.997	2.257	1.530	2.048
THRB	0.000	0.855	0.000	0.560
THSD4	0.000	0.000	0.000	0.000
THY1	2.147	3.333	3.210	2.675
TICRR	0.000	0.000	0.000	0.000
TIGD4	0.000	0.000	0.000	0.000
TIMELESS	0.000	0.000	0.000	0.000
TIMP1	2.429	2.469	1.276	2.443
TIMP3	0.785	2.872	2.864	0.917
TINAGL1	0.000	0.000	0.000	0.000
TIPARP	0.000	0.000	0.417	0.000
TK1	0.000	0.000	0.000	0.560
TLCD2	0.000	0.372	0.000	0.000
TLCD4	0.000	0.000	0.000	0.000
TLCD4-RWDD3	0.000	0.000	0.000	0.000
TLL1	0.000	0.000	0.000	0.000
TM4SF1	0.000	0.372	0.000	0.000
TMEM158	1.820	1.309	0.936	0.560
TMEM171	0.000	0.000	0.000	0.917
TMEM176A	0.000	0.000	0.000	0.000
TMEM176B	0.000	0.000	0.000	0.000
TMEM233	0.000	0.000	0.000	0.000
TMEM26	0.000	0.000	0.000	0.000
TMEM35A	0.335	0.372	0.710	0.000
TMEM45A	1.095	0.855	1.530	0.000
TMEM47	0.335	0.372	0.000	0.000
TMEM92	0.000	0.000	0.000	0.000
TMEM97	0.000	0.000	0.936	0.000
TMPO	0.000	0.000	0.000	0.560
TMPO-AS1	0.000	0.000	0.000	0.000
TMSB4X	3.095	4.247	3.210	3.591
TMTC2	0.335	0.000	0.000	0.560
TNC	2.236	3.078	1.530	0.917
TNFAIP2	0.335	0.000	0.000	0.000
TNFAIP3	0.000	0.000	0.000	0.000
TNFAIP6	0.000	0.000	0.000	0.000
TNFAIP8L1	0.000	0.000	0.000	0.000
TNFAIP8L3	0.000	0.000	0.710	0.000
TNFRSF10D	0.785	0.642	0.000	0.000
TNFRSF12A	0.585	0.372	0.710	0.560
TNFRSF19	0.000	0.372	0.000	0.000
TNFRSF21	0.000	0.372	0.417	0.560
TNFRSF9	0.000	0.000	0.000	0.000
TNFSF10	0.000	0.372	0.417	0.000
TNFSF11	0.000	0.000	0.000	0.000
TNFSF13B	0.000	0.000	0.000	0.000
TNFSF9	0.000	0.000	0.000	0.000
TNIK	0.000	0.000	0.000	0.000
TNRC6B	0.335	0.000	0.936	0.000
TOB1	0.952	0.372	0.000	0.000
TOP2A	0.000	0.000	0.000	0.000
TOPBP1	0.335	0.000	0.417	0.000
TOX	0.000	0.000	0.000	0.000
TP53INP1	0.585	0.372	0.710	0.000
TPI1	2.147	1.784	2.169	1.179
TPM1	0.585	1.030	1.121	0.917
TPM3	1.431	1.179	0.710	1.705
TPPP3	0.000	0.000	0.000	0.000
TPTE2P5	0.000	0.000	0.000	0.000
TPX2	0.000	0.000	0.000	0.000
TRA2B	0.785	0.372	0.710	0.000
TRABD2A	0.000	0.642	0.000	0.000
TRAPPC3L	0.000	1.030	0.000	0.000
TRBC2	0.000	0.000	0.000	0.917
TRHDE	0.335	0.372	0.000	0.000
TRIB2	0.000	0.372	0.710	0.560
TRIB3	0.000	0.000	0.000	0.000
TRIL	0.000	0.000	0.000	0.000
TRIM58	0.000	0.000	0.000	0.000
TRIP13	0.000	0.000	0.000	0.000
TRMU	0.000	0.000	0.000	0.000
TRNP1	0.585	0.855	0.417	0.000
TROAP	0.000	0.000	0.000	0.000
TRPA1	0.000	0.000	0.000	0.000
TRPM3	0.000	0.000	0.000	0.000
TSHZ2	0.000	0.372	0.000	0.000
TSPAN11	0.335	0.000	0.000	0.000
TSPAN13	0.000	0.000	0.000	0.000
TSPAN2	0.000	0.000	0.000	0.000
TSTD1	0.000	0.000	0.000	0.000
TTK	0.000	0.000	0.000	0.000
TUBA1A	1.095	1.309	0.936	1.833
TUBA1B	0.952	1.309	0.000	2.443
TUBA1C	0.785	0.855	0.710	0.560
TUBB	0.952	1.309	1.121	2.376
TUBB2A	0.000	0.642	0.000	0.000
TUBB2B	0.000	0.000	0.000	0.000
TUBB4B	0.585	0.000	0.417	0.917
TUBB6	0.000	0.642	0.710	0.917
TWIST1	0.000	0.000	0.000	0.000
TWIST2	1.682	1.179	1.276	1.179
TXLNB	0.000	0.000	0.000	0.000
TXNIP	0.785	0.642	1.530	0.560
TXNRD1	0.335	0.372	0.000	0.560
TYMS	1.431	0.000	0.000	0.000
UACA	0.585	0.642	1.636	1.387
UBE2C	0.000	0.000	0.000	0.000
UBE2QL1	0.000	0.000	0.000	0.000
UBE2S	0.335	0.372	0.000	0.000
UBE2T	0.000	0.000	0.000	0.000
UCHL1	2.703	2.644	1.732	1.387
UCP2	0.000	0.000	0.000	0.000
UGCG	0.335	0.372	0.000	0.000
UHRF1	0.000	0.000	0.000	0.000
UNC5B	0.000	0.000	0.000	0.000
UNC5C	0.000	0.000	0.000	0.000
USP1	0.000	0.000	0.000	0.560
USP44	0.000	0.000	0.000	0.000
USP51	0.000	0.000	0.000	0.000
USP53	0.585	0.372	0.710	0.000
VASN	0.000	0.855	0.710	0.000
VAT1L	0.000	0.642	0.000	0.560
VCAM1	0.000	0.000	0.000	0.000
VCAN	2.560	2.469	3.903	3.690
VEGFA	0.000	0.000	1.276	0.560
VEGFD	0.335	0.642	0.000	0.000
VEPH1	0.000	0.000	0.710	0.000
VGF	0.000	0.000	0.000	0.000
VGLL3	0.000	0.000	0.000	0.560
VPS9D1-AS1	0.000	0.000	0.000	0.000
VRK1	0.000	0.000	0.000	0.000
VSTM4	0.000	0.000	0.417	0.000
VWCE	0.000	0.000	0.000	0.000
WBP11	0.000	0.000	0.000	0.000
WDHD1	0.000	0.000	0.000	0.000
WDR43	0.335	0.642	0.417	0.560
WDR63	0.000	0.000	0.000	0.000
WDR76	0.000	0.000	0.000	0.000
WEE1	0.000	0.372	0.000	0.000
WFDC21P	0.000	0.000	0.417	0.000
WIF1	0.000	0.000	0.000	0.000
WNK3	0.000	0.000	0.000	0.000
WNT2	0.000	0.372	0.417	0.000
WNT2B	0.000	0.000	0.000	0.000
WNT5A	1.331	0.642	0.936	0.000
WNT7B	0.585	0.000	0.000	0.000
WWC1	0.000	0.000	0.000	0.000
XAF1	0.000	0.642	0.417	0.560
XRCC2	0.000	0.000	0.000	0.000
XYLT1	0.335	0.000	0.000	0.000
YPEL3	0.000	0.372	0.936	0.917
YWHAH	0.785	0.000	0.000	0.000
Z98884.1	0.000	0.000	0.000	0.000
ZFP36	0.335	0.000	0.000	0.000
ZFP36L1	0.952	2.348	2.893	1.833
ZFP36L2	0.952	0.372	0.417	0.000
ZFP42	0.000	0.000	0.000	0.000
ZGRF1	0.000	0.000	0.000	0.000
ZMAT3	2.049	1.030	1.411	1.559
ZNF208	0.000	0.000	0.000	0.000
ZNF367	0.000	0.000	0.000	0.000
ZNF385D	0.000	0.000	0.417	0.917
ZNF423	0.000	0.000	0.417	0.000
ZNF436	0.000	0.642	0.000	0.000
ZNF503	0.585	0.642	0.417	0.000
ZNF714	0.000	0.000	0.000	0.000
ZNF730	0.000	0.000	0.000	0.000
ZNF736P9Y	0.000	0.000	0.000	0.000
ZNF804A	0.000	0.000	0.000	0.000
ZNF853	0.000	0.000	0.000	0.000
ZNF93	0.000	0.000	0.000	0.000
ZSWIM2	0.000	0.000	0.000	0.000
ZWILCH	0.000	0.000	0.000	0.000
ZWINT	0.000	0.000	0.000	0.000
A1BG	0.000	0.000	0.000	0.000
AC006116.8	0.000	0.000	0.000	0.000
AC007285.1	0.000	0.000	0.000	0.000
AC007405.1	0.000	0.000	0.000	0.000
AC007666.1	0.000	0.000	0.000	0.000
AC008397.2	0.335	0.000	0.000	0.000
AC008883.3	0.000	0.000	0.000	0.000
AC010182.1	0.000	0.000	0.000	0.000
AC010834.3	0.000	0.000	0.000	0.000
AC012574.2	0.000	0.000	0.000	0.000
AC015819.1	0.000	0.000	0.000	0.000
AC015961.2	0.000	0.000	0.000	0.000
AC016596.1	0.000	0.000	0.000	0.000
AC019197.1	0.000	0.000	0.000	0.000
AC021321.1	0.000	0.000	0.000	0.000
AC024132.3	0.000	0.000	0.000	0.000
AC027796.1	0.000	0.000	0.000	0.000
AC079354.3	0.000	0.000	0.000	0.000
AC079416.2	0.000	0.000	0.000	0.000
AC079630.1	0.000	0.000	0.000	0.000
AC087752.4	0.000	0.000	0.000	0.000
AC091152.4	0.000	0.000	0.000	0.000
AC098679.2	0.000	0.000	0.000	0.000
AC099518.4	0.000	0.000	0.000	0.000
AC105114.1	0.000	0.000	0.000	0.000
AC112247.1	0.000	0.000	0.000	0.000
AC130650.2	0.000	0.000	0.000	0.000
ACKR2	0.000	0.000	0.000	0.000
ACOT1	0.000	0.000	0.000	0.000
AF241728.2	0.000	0.000	0.000	0.000
AL034417.4	0.000	0.000	0.000	0.000
AL049780.1	0.000	0.000	0.000	0.000
AL050343.3	0.000	0.000	0.000	0.000
AL078604.1	0.000	0.000	0.000	0.000
AL121992.3	0.000	0.000	0.000	0.000
AL139317.5	0.000	0.000	0.000	0.000
AL356966.1	0.000	0.000	0.000	0.000
AL391095.1	0.000	0.000	0.000	0.000
AL512603.1	0.000	0.000	0.000	0.000
AL662844.4	0.000	0.000	0.000	0.000
AMT	0.000	0.000	0.000	0.000
ANKRD22	0.000	0.000	0.000	0.000
AP001267.1	0.000	0.000	0.000	0.000
C2orf73	0.000	0.000	0.000	0.000
C9orf135	0.000	0.000	0.000	0.000
CAMK1G	0.000	0.000	0.000	0.000
CDH15	0.000	0.000	0.000	0.000
