GeneSymbol	A21_05_C3_P5_299466	A21_05_C3_P5_481136	A21_05_C3_P5_652329	A21_05_C3_P5_494412	A21_05_C3_P5_856756	A21_05_C3_P5_678766	A21_05_C3_P5_757592	A21_05_C3_P5_848919	A21_05_C3_P5_634645	A21_05_C3_P5_255703	A21_05_C3_P5_440336	A21_05_C3_P5_371750	A21_05_C3_P5_759161
CYP2D7	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CYP46A1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CYP7B1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CYTL1	0.000	0.000	0.000	0.000	0.705	0.000	0.000	0.000	0.439	0.000	0.000	0.000	0.000
DAAM2	0.276	0.687	0.000	0.000	0.000	0.409	0.000	0.705	0.000	0.446	0.000	0.000	0.000
DAB1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
DAB2	0.670	2.069	2.109	1.436	0.930	0.409	2.305	2.100	2.100	2.183	2.332	1.987	2.727
DACT1	0.000	0.285	0.000	0.377	0.413	0.000	0.000	0.000	0.000	0.000	0.458	0.000	0.000
DAPK1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
DBF4	0.000	0.285	0.000	0.377	0.000	0.409	0.000	0.000	0.000	0.446	0.000	0.000	0.000
DCBLD2	1.171	1.291	0.645	1.321	0.705	0.699	0.406	1.270	1.165	1.338	1.009	0.000	0.808
DCLK1	0.000	0.000	0.000	0.000	0.413	0.000	0.000	0.000	0.000	0.754	0.000	0.000	0.000
DCN	2.038	1.291	2.262	2.404	2.586	1.881	1.794	2.100	2.440	2.749	2.000	1.987	2.272
DDAH1	0.951	0.687	1.313	1.321	0.413	1.106	0.918	0.705	0.439	0.754	1.009	1.987	1.052
DDIAS	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
DDIT3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.483
DDIT4	0.492	0.000	0.000	0.000	0.000	0.000	0.406	0.000	0.000	0.000	0.000	0.000	0.483
DDIT4L	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.446	0.000	0.000	0.000
DDX10	0.000	0.285	0.000	0.000	0.000	0.409	0.406	0.413	0.000	0.754	0.000	0.453	0.483
DDX21	0.000	0.841	0.645	0.650	0.413	1.261	0.406	0.705	0.743	1.338	0.000	0.453	0.808
DDX58	0.000	0.000	0.858	0.000	0.413	0.000	0.000	0.000	0.000	0.446	0.458	0.000	0.000
DEK	0.820	0.000	1.183	1.190	0.930	1.106	0.406	0.931	0.976	0.989	1.009	0.453	0.808
DEPDC1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
DEPDC1B	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
DEPTOR	0.951	0.285	0.000	0.377	0.413	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.483
DGKH	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.763	0.808
DHCR24	0.000	0.687	0.373	0.377	0.000	0.923	1.100	0.000	0.976	0.754	0.000	0.763	1.554
DHFR	0.000	0.687	0.000	0.377	0.413	0.923	0.000	0.413	0.439	0.446	0.458	0.453	0.000
DHX9	0.670	0.687	1.034	0.650	0.000	0.409	0.406	0.705	0.976	0.754	0.771	0.453	0.808
DIAPH3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.458	0.000	0.000
DIO2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.413	0.000	0.000	0.000	0.000	0.000
DIRAS3	0.000	2.027	0.000	0.000	0.413	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
DIRC1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
DKC1	0.820	0.841	0.000	0.377	0.000	0.000	0.694	0.000	0.439	0.446	0.771	0.453	0.000
DKK1	0.276	0.000	0.000	0.000	0.000	0.000	0.406	0.000	0.000	0.000	0.000	0.000	0.000
DKK2	2.355	0.285	0.000	1.871	1.269	1.801	0.000	0.413	1.165	1.597	0.458	0.000	1.052
DLGAP5	0.000	0.000	0.000	0.000	0.000	0.923	0.000	0.000	0.000	0.000	0.000	0.000	0.000
DNAJB4	0.276	1.291	1.034	0.377	0.000	0.409	0.918	1.114	0.439	0.446	0.458	0.763	1.052
DNAJB9	0.951	0.000	0.373	0.377	0.000	0.409	0.000	0.000	0.743	0.989	0.000	0.000	0.000
DNAJC9	0.492	0.506	0.373	0.377	0.000	0.000	0.406	0.705	0.000	0.000	0.458	0.763	0.000
DNER	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
DNM3OS	1.171	0.687	1.710	1.190	0.930	0.923	1.794	0.705	0.000	0.754	1.009	1.000	0.808
DNMT1	0.000	0.285	0.645	0.377	0.705	0.409	0.000	0.413	0.439	0.446	0.000	0.453	0.483
DPP4	0.000	0.506	0.373	1.041	0.930	0.000	0.406	0.413	0.743	0.754	0.000	0.763	0.808
DRAIC	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
DRAXIN	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
DSEL	0.000	0.841	0.645	0.000	0.000	0.699	0.694	0.705	0.743	0.446	0.458	0.000	0.000
DSG2	0.000	0.000	0.000	0.000	0.413	0.000	0.406	0.000	0.000	0.000	0.000	0.000	0.000
DSN1	0.000	0.506	0.000	0.000	0.413	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
DSP	0.951	0.687	0.645	1.436	0.705	1.261	0.406	0.413	0.000	0.446	0.000	0.453	0.808
DTL	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
DTYMK	0.276	0.000	0.373	0.000	0.000	0.699	0.000	0.000	0.000	0.446	0.000	0.000	0.000
DUOX2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
DUSP1	0.276	0.506	0.373	0.377	0.000	0.000	0.000	0.413	0.000	0.000	0.000	0.000	0.000
DUSP14	0.000	0.974	0.000	0.650	0.413	0.409	0.406	0.000	0.000	1.338	0.000	0.763	0.483
DUSP4	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
DUSP6	0.000	0.506	0.373	1.321	0.000	0.000	0.000	0.000	0.976	0.446	0.000	0.000	0.000
DUT	0.492	0.974	1.531	1.190	0.000	1.106	1.255	0.413	0.000	0.989	1.731	1.191	1.249
DUXAP8	0.492	0.000	0.000	0.377	0.000	0.000	0.000	0.000	0.000	0.446	0.000	0.000	0.000
DYRK3	0.492	0.000	0.000	0.650	0.000	0.000	0.000	0.931	0.000	0.446	0.000	0.000	0.000
E2F1	0.000	0.000	0.000	0.000	0.000	0.409	0.000	0.000	0.000	0.000	0.000	0.000	0.000
E2F7	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
E2F8	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
EBNA1BP2	0.492	0.506	0.373	0.377	0.000	0.923	0.000	0.000	0.000	0.446	0.458	0.000	0.000
ECM1	1.171	1.378	0.858	1.719	1.114	0.923	0.000	0.931	0.976	1.705	0.771	1.191	1.249
ECT2	0.276	0.000	0.000	0.377	0.413	0.000	0.000	0.000	0.000	0.000	0.000	0.453	0.000
EDIL3	0.276	0.285	0.000	0.000	0.000	0.409	0.000	0.000	0.000	0.000	0.000	0.000	0.000
EDNRA	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.483
EDNRB	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
EFEMP1	0.276	1.291	0.858	0.000	1.403	1.106	0.694	1.114	0.000	0.000	0.000	1.000	0.000
EFNB2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
EGFLAM	0.276	1.091	0.373	0.650	0.000	0.000	0.406	0.000	0.000	0.000	0.000	0.000	0.483
EGLN3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
EGR1	0.276	0.000	1.313	0.377	1.269	1.714	1.874	0.931	0.743	0.000	2.076	1.987	1.052
EGR2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.362	0.000	0.000
EGR3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
EHD4	0.492	0.687	0.373	0.377	0.000	0.000	0.000	0.000	0.000	0.446	0.000	0.763	0.483
EIF1AX	0.951	0.974	1.034	1.041	0.930	0.923	0.000	0.413	0.439	1.476	0.771	1.191	1.052
EIF4E	0.492	0.285	0.373	1.041	0.000	0.409	0.694	0.413	0.000	0.989	0.000	0.000	0.000
EIF5	1.067	1.091	0.858	1.190	0.930	0.409	0.406	1.270	1.165	0.000	0.000	0.453	1.249
EIF5A	1.752	1.887	1.034	1.539	1.403	1.714	1.707	1.270	1.581	0.754	1.501	1.489	1.052
ELFN1	0.000	0.000	0.000	0.000	0.413	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ELFN2	0.000	0.000	0.000	0.000	0.413	0.409	0.000	0.000	1.165	0.000	0.458	0.453	0.000
ELL2	0.276	0.687	1.313	0.864	0.000	0.699	0.694	0.413	1.324	0.446	0.771	0.453	0.483
ELN	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ELOVL2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
EMB	0.951	0.687	0.373	0.377	0.705	0.699	0.406	1.114	0.976	1.476	0.458	0.000	0.000
EMCN	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
EMP1	0.670	1.531	0.373	1.719	1.114	0.923	1.388	1.966	1.461	1.705	1.829	2.063	1.677
EMP2	0.000	0.000	0.645	0.650	0.413	0.000	0.000	0.000	0.976	0.000	0.458	0.000	0.483
EMX2	0.492	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.808
ENAH	0.492	0.841	1.531	1.041	0.705	0.409	0.000	0.931	0.976	0.989	0.771	1.000	0.483
ENC1	1.752	2.258	0.000	0.864	0.000	1.106	0.000	0.000	0.000	0.000	0.000	0.000	0.808
ENO1	1.695	1.887	1.710	1.798	1.723	2.362	2.354	1.812	1.689	1.338	2.488	1.489	1.677
ENPP1	0.951	0.285	0.000	0.377	0.000	0.409	0.694	0.413	0.439	0.000	0.000	0.763	1.052
ENPP2	0.000	0.000	1.313	0.650	1.403	0.000	0.918	1.892	1.324	0.446	0.458	1.611	1.554
EPAS1	0.000	0.000	0.000	0.377	0.000	0.000	0.000	0.931	0.976	0.989	0.000	0.000	0.000
EPDR1	0.670	0.000	0.645	0.000	0.000	0.409	0.406	0.705	0.000	0.000	0.000	0.000	0.000
EPHA1-AS1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
EPHA3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
EPHA4	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
EPHB1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
EPHB2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.976	0.000	0.000	0.000	0.000
EPS8L1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
EPSTI1	0.492	0.000	0.858	0.377	0.000	0.000	0.406	0.705	0.743	0.989	0.000	0.763	0.000
ERCC6L	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
EREG	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ERRFI1	0.000	0.000	0.000	0.377	0.413	0.000	0.000	0.413	0.000	0.000	0.458	1.000	0.483
ERVK9-11	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ESCO2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ESPL1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ETV1	0.276	0.285	0.000	1.041	0.000	0.000	0.406	0.000	0.000	0.446	0.458	0.000	1.052
EXO1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
EXOSC8	0.000	0.000	0.373	0.377	0.000	0.000	0.000	0.000	0.439	0.000	0.000	0.000	0.000
EXOSC9	0.000	0.285	0.373	0.000	0.413	0.699	0.000	0.000	0.000	0.000	0.771	0.000	0.000
EYA1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
EYA2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
EYA4	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
EZH2	0.000	0.000	0.000	0.377	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
EZR	0.000	0.000	0.000	0.650	0.000	0.000	0.000	0.000	0.000	0.000	0.458	0.000	0.483
F11R	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
F13A1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
F2R	0.000	0.285	0.000	0.000	0.705	0.699	0.694	0.000	0.439	0.446	0.458	0.453	1.413
F3	0.000	0.000	0.373	0.377	0.000	0.000	0.000	1.892	0.743	0.446	1.009	0.763	0.000
FABP3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FABP4	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FABP5	0.000	0.841	0.000	0.000	0.413	0.923	0.000	0.000	0.743	0.754	0.458	0.000	0.808
FADS1	0.492	0.285	0.000	0.650	0.413	0.000	0.406	0.413	0.000	0.446	0.771	0.000	0.000
FAIM2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.439	0.000	0.000	0.000	0.000
FAM107B	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.439	0.000	0.458	0.000	0.000
FAM111A	0.000	0.000	0.000	0.377	0.000	0.000	0.406	0.413	0.439	0.446	0.000	0.000	0.000
FAM111B	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FAM13C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FAM155A	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FAM180A	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.705	0.000	0.000	0.000	0.000	0.483
FAM20A	0.000	0.000	0.645	0.377	0.000	0.409	0.694	0.000	0.000	0.989	0.771	0.763	0.000
FAM43A	0.276	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.458	0.453	0.000
FAM72D	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FAM83D	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FAM83F	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FANCA	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FANCD2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.453	0.000
FANCI	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.439	0.000	0.000	0.000	0.000
FANCM	0.276	0.000	0.373	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FAP	1.635	0.841	0.645	1.633	2.035	1.261	2.017	1.404	0.976	1.179	1.009	1.000	1.554
FAR2P2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FARSB	0.276	0.506	0.373	0.864	0.000	0.000	0.000	0.413	0.000	0.000	0.458	0.000	0.000
FBLN1	0.000	0.000	1.624	1.190	1.114	0.699	0.000	1.966	1.581	1.338	0.771	1.719	2.334
FBLN2	0.000	0.506	0.645	0.650	1.403	0.409	0.918	0.931	1.324	0.446	0.771	1.000	0.483
FBLN5	1.695	1.196	1.313	0.864	2.160	1.106	1.100	2.218	1.461	1.179	1.918	1.191	2.272
FBN1	2.155	1.887	1.788	1.939	1.522	1.714	1.506	1.628	1.165	0.989	1.362	1.987	1.787
FBN2	0.492	0.000	1.428	0.377	1.403	1.395	1.794	1.812	0.743	0.989	2.076	2.373	1.677
FBXO32	0.000	0.000	0.000	0.000	0.000	0.000	0.406	0.000	0.000	0.000	0.000	0.000	0.000
FBXO43	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FBXO5	0.000	0.000	0.373	0.000	0.000	0.000	0.406	0.000	0.000	0.000	0.000	0.000	0.000
FCMR	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FDXR	0.000	0.285	0.645	0.000	0.413	0.923	0.000	0.000	0.439	0.754	0.458	0.000	1.052
FEN1	0.276	0.000	0.000	0.000	0.000	0.000	0.406	0.000	0.000	0.000	0.000	0.000	0.000
FERMT1	0.276	0.000	0.000	0.000	0.000	0.409	0.406	0.413	0.000	0.000	0.000	0.000	0.000
FGD4	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FGD6	0.000	0.000	0.373	0.377	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.483
FGF1	0.000	0.687	0.000	0.650	0.000	0.000	0.000	0.000	0.000	0.446	0.000	0.000	0.000
FGF18	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FGF2	0.276	0.974	0.373	0.650	0.000	0.000	0.406	0.931	1.581	0.754	1.009	0.763	1.249
FGF5	0.000	0.000	0.000	0.377	0.000	0.000	0.000	0.000	0.743	0.446	0.000	0.000	0.808
FGF7	0.000	0.000	0.000	0.864	0.705	0.000	0.000	0.413	1.165	0.989	0.000	1.000	0.000
FHAD1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FHL1	0.492	0.285	1.034	0.377	0.705	0.699	0.694	1.892	0.976	0.000	0.000	1.000	1.554
FHL2	0.670	1.196	0.858	0.650	0.930	0.699	0.694	1.812	0.743	0.000	1.362	0.763	1.554
FIBCD1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FIBIN	0.000	0.000	0.000	0.377	0.413	0.409	0.000	0.000	0.000	0.000	0.771	0.000	0.000
FILIP1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FILIP1L	0.492	1.457	0.858	0.864	0.705	1.956	1.100	0.931	0.743	0.446	2.332	1.719	1.052
FJX1	0.670	0.285	0.000	0.000	0.413	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FKBP14	0.951	1.196	1.183	0.864	0.000	1.395	1.100	0.705	0.976	1.476	1.501	1.000	0.483
FKBP4	0.000	0.000	0.858	0.377	0.413	0.409	0.406	0.000	0.000	0.446	0.458	0.000	0.808
FMN2	0.000	0.000	0.000	0.000	0.413	0.000	0.000	0.413	0.000	0.000	0.000	0.453	0.000
FMO1	0.000	0.000	0.373	0.377	1.114	0.000	0.000	0.705	0.000	0.000	0.458	0.000	0.483
FMO2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FMO3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FMOD	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FN1	4.619	4.658	3.882	4.276	4.002	4.288	3.874	3.674	3.821	3.888	3.715	3.769	3.795
FNDC1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FNDC5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FOS	0.276	0.000	0.645	0.000	1.269	1.618	0.406	1.114	1.581	0.000	2.212	1.191	0.483
FOSB	0.000	0.000	0.000	0.000	0.000	0.699	0.000	0.413	0.000	0.000	1.201	0.453	0.000
FOSL1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.413	0.000	0.000	0.000	0.000	0.000
FOSL2	1.171	0.687	1.531	0.864	0.930	1.395	1.100	1.270	1.581	1.179	1.362	1.611	1.052
FOXC2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FOXD1	0.276	0.285	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.763	0.000
FOXF1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FOXF2	0.000	0.000	0.373	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FOXM1	0.000	0.000	0.373	0.000	0.000	0.000	0.000	0.000	0.439	0.000	0.000	0.000	0.000
FOXO1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FOXP1	0.000	0.285	0.000	0.377	0.413	1.261	0.000	0.413	0.439	0.989	0.771	0.453	0.000
FOXQ1	0.000	0.000	0.373	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FOXS1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FRAS1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.453	0.000
FREM1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FRMD6	0.951	1.600	1.313	1.436	0.413	1.261	0.406	1.966	1.581	1.338	0.458	0.000	1.052
FRMPD4	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FRRS1L	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FSIP2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.483
FST	0.000	0.000	0.000	0.000	0.413	0.000	0.000	0.705	0.000	0.000	0.000	0.763	0.000
FSTL1	2.685	2.387	2.616	2.592	2.825	2.207	2.487	3.114	2.532	2.409	2.488	2.765	2.448
FSTL5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FTH1	3.090	2.223	2.974	3.590	2.855	2.150	3.241	3.201	2.896	3.226	3.004	2.522	2.500
FTH1P10	0.492	0.506	0.645	0.650	0.000	0.409	0.406	0.705	0.743	1.338	0.000	0.000	0.483
FTL	2.707	2.697	2.616	3.299	2.695	2.685	2.998	2.993	2.575	3.249	2.664	2.566	2.643
FUBP1	1.067	0.285	0.000	0.000	0.000	0.699	0.918	0.413	0.439	0.446	0.458	0.000	0.000
FUS	1.067	1.196	1.183	1.321	0.930	1.261	1.506	1.404	0.976	1.705	1.731	1.489	1.787
FYB1	0.000	0.000	0.000	0.000	0.000	0.000	0.406	0.413	0.000	0.000	0.000	0.000	0.000
FZD1	0.000	0.285	0.645	0.650	1.114	0.699	0.000	0.413	0.439	0.446	0.458	0.763	1.677
FZD3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.763	0.000
FZD7	0.276	0.506	1.183	0.377	0.000	0.409	0.694	0.413	1.165	0.000	0.458	0.453	0.000
FZD8	0.000	0.285	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.483
G0S2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
G2E3	0.276	0.506	0.000	0.000	0.413	0.000	0.000	0.413	0.000	0.446	0.000	0.000	0.483
G3BP1	0.670	1.196	1.183	0.377	0.930	0.000	1.388	1.114	1.461	0.446	0.000	0.763	1.249
GABPB1-AS1	0.000	0.000	0.373	0.000	0.000	0.000	0.000	0.705	0.000	0.000	0.458	0.000	0.000
GABRB2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
GABRB3	0.000	0.000	0.000	0.377	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
GADD45A	0.492	0.000	0.000	0.000	0.930	0.923	0.000	0.000	0.000	0.000	0.458	0.453	0.000
GADD45B	1.067	0.687	0.000	0.000	0.000	0.699	0.406	0.413	0.000	0.000	0.458	0.453	0.483
GAL	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.743	0.000	0.000	0.000	0.000
GALNT1	0.820	0.974	1.034	0.000	1.114	1.106	0.694	0.000	0.976	0.989	0.771	0.000	0.483
GALNT15	0.000	0.285	0.373	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.458	0.000	0.000
GALNT5	0.000	1.091	1.788	0.650	1.114	1.261	0.406	0.931	0.743	0.446	0.771	0.000	0.483
GALNT6	0.000	0.000	0.000	0.000	0.000	0.409	0.406	0.000	0.439	0.000	0.000	0.453	0.808
GAP43	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.439	0.000	0.000	0.000	0.000
GAS1	0.276	0.000	0.373	0.377	0.413	0.409	0.000	1.404	0.000	1.338	0.000	0.453	0.483
GAS2L3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.439	0.000	0.000	0.000	0.000
GAS6	2.078	0.506	1.428	1.041	0.000	1.261	0.918	1.724	0.976	1.179	0.000	0.000	0.483
GAS7	0.000	0.000	0.000	0.650	0.413	0.699	0.000	0.705	0.439	0.754	0.000	0.763	0.483
GATA6	0.000	0.000	0.373	0.000	0.413	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.808
GATM	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
GBP1	0.670	1.378	0.858	0.864	0.930	0.699	0.000	1.114	0.439	0.000	0.771	0.763	0.483
GCLM	0.276	0.285	0.858	1.041	0.413	0.699	0.694	0.413	1.324	0.446	1.362	1.000	0.000
GDF15	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
